Comercio;ID Comercio;Invoice DateFecha de Ingreso;Región;Estado;Ciudad;Producto;Precio Por Unidad;Unidades Vendidas;Precio Final;Ganancias;Margen Operativo;Metodo de Venta
Foot Locker;1185732;16/3/2020;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,25;$7,50,000 ;$3,75,000 ;50%;Outlet
Foot Locker;1185732;17/3/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1,025;$5,63,750 ;$1,69,125 ;30%;Outlet
Foot Locker;1185732;18/3/2020;Northeast;New York;New York;Women's Street Footwear;$50.00 ;950;$4,75,000 ;$1,66,250 ;35%;Outlet
Foot Locker;1185732;31/3/2020;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;925;$4,62,500 ;$1,61,875 ;35%;Outlet
Walmart;1185732;17/4/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$5,40,000 ;$1,62,000 ;30%;Outlet
Walmart;1185732;18/4/2020;Northeast;New York;New York;Women's Apparel;$65.00 ;1,075;$6,98,750 ;$1,74,688 ;25%;Outlet
Walmart;1185732;19/4/2020;Northeast;New York;New York;Men's Street Footwear;$60.00 ;1,2;$7,20,000 ;$3,60,000 ;50%;Outlet
Walmart;1185732;20/4/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1;$5,50,000 ;$1,65,000 ;30%;Outlet
Walmart;1185732;21/4/2020;Northeast;New York;New York;Women's Street Footwear;$50.00 ;925;$4,62,500 ;$1,61,875 ;35%;Outlet
Walmart;1185732;22/4/2020;Northeast;New York;New York;Women's Athletic Footwear;$50.00 ;900;$4,50,000 ;$1,57,500 ;35%;Outlet
Walmart;1185732;23/4/2020;Northeast;New York;New York;Men's Apparel;$60.00 ;900;$5,40,000 ;$1,62,000 ;30%;Outlet
Walmart;1185732;24/4/2020;Northeast;New York;New York;Women's Apparel;$65.00 ;1;$6,50,000 ;$1,62,500 ;25%;Outlet
Walmart;1185732;25/4/2020;Northeast;New York;New York;Men's Apparel;$65.00 ;875;$5,68,750 ;$1,70,625 ;30%;Outlet
Walmart;1185732;26/4/2020;Northeast;New York;New York;Women's Apparel;$70.00 ;1;$7,00,000 ;$1,75,000 ;25%;Outlet
Walmart;1185732;27/4/2020;Northeast;New York;New York;Men's Street Footwear;$65.00 ;1,15;$7,47,500 ;$3,73,750 ;50%;Outlet
Walmart;1185732;28/4/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;975;$5,36,250 ;$1,60,875 ;30%;Outlet
Walmart;1185732;29/4/2020;Northeast;New York;New York;Women's Street Footwear;$55.00 ;920;$5,06,000 ;$1,77,100 ;35%;Outlet
Walmart;1185732;30/4/2020;Northeast;New York;New York;Women's Athletic Footwear;$55.00 ;900;$4,95,000 ;$1,73,250 ;35%;Outlet
Walmart;1185732;1/5/2020;Northeast;New York;New York;Men's Apparel;$65.00 ;875;$5,68,750 ;$1,70,625 ;30%;Outlet
Walmart;1185732;2/5/2020;Northeast;New York;New York;Women's Apparel;$70.00 ;975;$6,82,500 ;$1,70,625 ;25%;Outlet
Walmart;1185732;3/5/2020;Northeast;New York;New York;Men's Street Footwear;$65.00 ;1,2;$7,80,000 ;$3,90,000 ;50%;Outlet
Walmart;1185732;4/5/2020;Northeast;New York;New York;Men's Athletic Footwear;$55.00 ;1;$5,50,000 ;$1,65,000 ;30%;Outlet
Walmart;1185732;5/5/2020;Northeast;New York;New York;Women's Street Footwear;$55.00 ;950;$5,22,500 ;$1,82,875 ;35%;Outlet
Walmart;1185732;6/5/2020;Northeast;New York;New York;Women's Athletic Footwear;$55.00 ;900;$4,95,000 ;$1,73,250 ;35%;Outlet
Walmart;1185732;7/5/2020;Northeast;New York;New York;Men's Apparel;$65.00 ;900;$5,85,000 ;$1,75,500 ;30%;Outlet
Walmart;1185732;18/7/2020;Northeast;New York;New York;Women's Apparel;$70.00 ;1;$7,00,000 ;$1,75,000 ;25%;Outlet
Sports Direct;1197831;19/7/2020;Northeast;New York;New York;Men's Street Footwear;$25.00 ;900;$2,25,000 ;$ 78,75;35%;Outlet
Sports Direct;1197831;20/7/2020;Northeast;New York;New York;Men's Athletic Footwear;$35.00 ;900;$3,15,000 ;$1,10,250 ;35%;Outlet
Sports Direct;1197831;21/7/2020;Northeast;New York;New York;Women's Street Footwear;$35.00 ;700;$2,45,000 ;$ 85,75;35%;Outlet
Sports Direct;1197831;22/7/2020;Northeast;New York;New York;Women's Athletic Footwear;$35.00 ;700;$2,45,000 ;$1,10,250 ;45%;Outlet
Sports Direct;1197831;23/7/2020;South;Texas;Houston;Men's Apparel;$40.00 ;550;$2,20,000 ;$ 66,00;30%;Outlet
Sports Direct;1197831;24/7/2020;South;Texas;Houston;Women's Apparel;$35.00 ;700;$2,45,000 ;$1,22,500 ;50%;Outlet
Sports Direct;1197831;25/7/2020;South;Texas;Houston;Men's Street Footwear;$25.00 ;850;$2,12,500 ;$ 74,38;35%;Outlet
Sports Direct;1197831;26/7/2020;South;Texas;Houston;Men's Athletic Footwear;$35.00 ;850;$2,97,500 ;$1,04,125 ;35%;Outlet
Sports Direct;1197831;27/7/2020;South;Texas;Houston;Women's Street Footwear;$35.00 ;675;$2,36,250 ;$ 82,69;35%;Outlet
Sports Direct;1197831;28/7/2020;South;Texas;Houston;Women's Athletic Footwear;$35.00 ;625;$2,18,750 ;$ 98,44;45%;Outlet
Sports Direct;1197831;29/7/2020;South;Texas;Houston;Men's Apparel;$40.00 ;500;$2,00,000 ;$ 60,00;30%;Outlet
Sports Direct;1197831;30/7/2020;South;Texas;Houston;Women's Apparel;$35.00 ;700;$2,45,000 ;$1,22,500 ;50%;Outlet
Sports Direct;1197831;31/7/2020;South;Texas;Houston;Men's Street Footwear;$30.00 ;875;$2,62,500 ;$ 91,88;35%;Outlet
Sports Direct;1197831;1/8/2020;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;875;$3,50,000 ;$1,22,500 ;35%;Outlet
Sports Direct;1197831;2/8/2020;South;Texas;Houston;Women's Street Footwear;$35.00 ;700;$2,45,000 ;$ 85,75;35%;Outlet
Sports Direct;1197831;3/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;600;$2,40,000 ;$1,08,000 ;45%;Outlet
Sports Direct;1197831;4/8/2020;South;Texas;Houston;Men's Apparel;$45.00 ;500;$2,25,000 ;$ 67,50;30%;Outlet
Sports Direct;1197831;5/8/2020;South;Texas;Houston;Women's Apparel;$40.00 ;650;$2,60,000 ;$1,30,000 ;50%;Outlet
Sports Direct;1197831;6/8/2020;South;Texas;Houston;Men's Street Footwear;$30.00 ;900;$2,70,000 ;$ 94,50;35%;Outlet
Sports Direct;1197831;7/8/2020;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;900;$3,60,000 ;$1,26,000 ;35%;Outlet
Sports Direct;1197831;8/8/2020;South;Texas;Houston;Women's Street Footwear;$35.00 ;725;$2,53,750 ;$ 88,81;35%;Outlet
Sports Direct;1197831;9/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;625;$2,50,000 ;$1,12,500 ;45%;Outlet
Walmart;1197831;10/8/2020;South;Texas;Houston;Men's Apparel;$45.00 ;525;$2,36,250 ;$ 70,88;30%;Outlet
Walmart;1197831;11/8/2020;South;Texas;Houston;Women's Apparel;$40.00 ;800;$3,20,000 ;$1,60,000 ;50%;Outlet
Walmart;1197831;12/8/2020;South;Texas;Houston;Men's Street Footwear;$30.00 ;925;$2,77,500 ;$ 97,13;35%;Outlet
Walmart;1197831;13/8/2020;South;Texas;Houston;Men's Athletic Footwear;$40.00 ;925;$3,70,000 ;$1,29,500 ;35%;Outlet
Walmart;1197831;14/8/2020;South;Texas;Houston;Women's Street Footwear;$35.00 ;775;$2,71,250 ;$ 94,94;35%;Outlet
Walmart;1197831;15/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;700;$2,80,000 ;$1,26,000 ;45%;Outlet
Walmart;1197831;16/8/2020;South;Texas;Houston;Men's Apparel;$45.00 ;600;$2,70,000 ;$ 81,00;30%;Outlet
Walmart;1197831;17/8/2020;South;Texas;Houston;Women's Apparel;$40.00 ;950;$3,80,000 ;$1,90,000 ;50%;Outlet
Walmart;1197831;18/8/2020;South;Texas;Houston;Men's Street Footwear;$40.00 ;950;$3,80,000 ;$1,33,000 ;35%;Outlet
Walmart;1197831;19/8/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$4,27,500 ;$1,49,625 ;35%;Outlet
Walmart;1197831;20/8/2020;South;Texas;Houston;Women's Street Footwear;$40.00 ;800;$3,20,000 ;$1,12,000 ;35%;Outlet
Walmart;1197831;21/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;750;$3,00,000 ;$1,35,000 ;45%;Outlet
Walmart;1197831;22/8/2020;South;Texas;Houston;Men's Apparel;$45.00 ;650;$2,92,500 ;$ 87,75;30%;Outlet
Walmart;1197831;23/8/2020;South;Texas;Houston;Women's Apparel;$50.00 ;1;$5,00,000 ;$2,50,000 ;50%;Outlet
Walmart;1197831;24/8/2020;South;Texas;Houston;Men's Street Footwear;$40.00 ;950;$3,80,000 ;$1,33,000 ;35%;Outlet
Walmart;1197831;25/8/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$4,27,500 ;$1,49,625 ;35%;Outlet
Walmart;1197831;26/8/2020;South;Texas;Houston;Women's Street Footwear;$40.00 ;1,1;$4,40,000 ;$1,54,000 ;35%;Outlet
Walmart;1197831;27/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;700;$2,80,000 ;$1,26,000 ;45%;Outlet
Walmart;1197831;28/8/2020;South;Texas;Houston;Men's Apparel;$45.00 ;700;$3,15,000 ;$ 94,50;30%;Outlet
Walmart;1197831;29/8/2020;South;Texas;Houston;Women's Apparel;$50.00 ;975;$4,87,500 ;$2,43,750 ;50%;Outlet
Walmart;1197831;30/8/2020;South;Texas;Houston;Men's Street Footwear;$40.00 ;925;$3,70,000 ;$1,29,500 ;35%;Outlet
Walmart;1197831;31/8/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;925;$4,16,250 ;$1,45,688 ;35%;Outlet
Walmart;1197831;1/9/2020;South;Texas;Houston;Women's Street Footwear;$40.00 ;1,1;$4,40,000 ;$1,54,000 ;35%;Outlet
Walmart;1197831;2/9/2020;South;Texas;Houston;Women's Athletic Footwear;$40.00 ;650;$2,60,000 ;$1,17,000 ;45%;Outlet
Walmart;1197831;3/9/2020;South;Texas;Houston;Men's Apparel;$45.00 ;650;$2,92,500 ;$ 87,75;30%;Outlet
Walmart;1197831;4/9/2020;South;Texas;Houston;Women's Apparel;$50.00 ;900;$4,50,000 ;$2,25,000 ;50%;Outlet
Walmart;1197831;5/9/2020;South;Texas;Houston;Men's Street Footwear;$45.00 ;850;$3,82,500 ;$1,33,875 ;35%;Outlet
Walmart;1197831;6/9/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;850;$3,82,500 ;$1,33,875 ;35%;Outlet
Walmart;1197831;7/9/2020;South;Texas;Houston;Women's Street Footwear;$50.00 ;900;$4,50,000 ;$1,57,500 ;35%;Outlet
Walmart;1197831;8/9/2020;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;625;$3,12,500 ;$1,40,625 ;45%;Outlet
Walmart;1197831;9/9/2020;South;Texas;Houston;Men's Apparel;$45.00 ;625;$2,81,250 ;$ 84,38;30%;Outlet
Walmart;1197831;10/9/2020;South;Texas;Houston;Women's Apparel;$55.00 ;850;$4,67,500 ;$2,33,750 ;50%;Outlet
Walmart;1197831;11/9/2020;South;Texas;Houston;Men's Street Footwear;$45.00 ;800;$3,60,000 ;$1,26,000 ;35%;Outlet
Walmart;1197831;12/9/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;800;$3,60,000 ;$1,26,000 ;35%;Outlet
Walmart;1197831;13/9/2020;South;Texas;Houston;Women's Street Footwear;$50.00 ;750;$3,75,000 ;$1,31,250 ;35%;Outlet
Walmart;1197831;14/9/2020;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;600;$3,00,000 ;$1,35,000 ;45%;Outlet
Walmart;1197831;15/9/2020;South;Texas;Houston;Men's Apparel;$45.00 ;575;$2,58,750 ;$ 77,63;30%;Outlet
Walmart;1197831;16/9/2020;South;Texas;Houston;Women's Apparel;$55.00 ;750;$4,12,500 ;$2,06,250 ;50%;Outlet
Walmart;1197831;20/10/2020;South;Texas;Houston;Men's Street Footwear;$45.00 ;900;$4,05,000 ;$1,41,750 ;35%;Outlet
Walmart;1197831;21/10/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;900;$4,05,000 ;$1,41,750 ;35%;Outlet
Walmart;1197831;22/10/2020;South;Texas;Houston;Women's Street Footwear;$50.00 ;825;$4,12,500 ;$1,44,375 ;35%;Outlet
Walmart;1197831;23/10/2020;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;675;$3,37,500 ;$1,51,875 ;45%;Outlet
Walmart;1197831;24/10/2020;South;Texas;Houston;Men's Apparel;$45.00 ;650;$2,92,500 ;$ 87,75;30%;Outlet
Walmart;1197831;25/10/2020;South;Texas;Houston;Women's Apparel;$55.00 ;850;$4,67,500 ;$2,33,750 ;50%;Outlet
Walmart;1197831;26/10/2020;South;Texas;Houston;Men's Street Footwear;$45.00 ;950;$4,27,500 ;$1,49,625 ;35%;Outlet
Walmart;1197831;27/10/2020;South;Texas;Houston;Men's Athletic Footwear;$45.00 ;950;$4,27,500 ;$1,49,625 ;35%;Outlet
Walmart;1197831;28/10/2020;South;Texas;Houston;Women's Street Footwear;$50.00 ;850;$4,25,000 ;$1,48,750 ;35%;Outlet
Walmart;1197831;29/10/2020;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;700;$3,50,000 ;$1,57,500 ;45%;Outlet
Walmart;1197831;30/10/2020;South;Texas;Houston;Men's Apparel;$45.00 ;650;$2,92,500 ;$ 87,75;30%;Outlet
Walmart;1197831;31/10/2020;South;Texas;Houston;Women's Apparel;$55.00 ;900;$4,95,000 ;$2,47,500 ;50%;Outlet
West Gear;1128299;1/11/2020;South;Texas;Houston;Men's Street Footwear;$40.00 ;775;$3,10,000 ;$1,08,500 ;35%;Outlet
West Gear;1128299;2/11/2020;South;Texas;Houston;Men's Athletic Footwear;$50.00 ;775;$3,87,500 ;$ 77,50;20%;Outlet
West Gear;1128299;3/11/2020;South;Texas;Houston;Women's Street Footwear;$50.00 ;775;$3,87,500 ;$1,35,625 ;35%;Outlet
West Gear;1128299;4/11/2020;South;Texas;Houston;Women's Athletic Footwear;$50.00 ;625;$3,12,500 ;$ 93,75;30%;Outlet
West Gear;1128299;5/11/2020;West;California;San Francisco;Men's Apparel;$55.00 ;575;$3,16,250 ;$1,58,125 ;50%;Outlet
West Gear;1128299;6/11/2020;West;California;San Francisco;Women's Apparel;$50.00 ;775;$3,87,500 ;$ 58,13;15%;Outlet
West Gear;1128299;7/11/2020;West;California;San Francisco;Men's Street Footwear;$40.00 ;825;$3,30,000 ;$1,15,500 ;35%;Outlet
West Gear;1128299;8/11/2020;West;California;San Francisco;Men's Athletic Footwear;$50.00 ;725;$3,62,500 ;$ 72,50;20%;Outlet
West Gear;1128299;9/11/2020;West;California;San Francisco;Women's Street Footwear;$50.00 ;725;$3,62,500 ;$1,26,875 ;35%;Outlet
West Gear;1128299;10/11/2020;West;California;San Francisco;Women's Athletic Footwear;$50.00 ;575;$2,87,500 ;$ 86,25;30%;Outlet
West Gear;1128299;11/11/2020;West;California;San Francisco;Men's Apparel;$55.00 ;500;$2,75,000 ;$1,37,500 ;50%;Outlet
West Gear;1128299;12/11/2020;West;California;San Francisco;Women's Apparel;$50.00 ;700;$3,50,000 ;$ 52,50;15%;Outlet
West Gear;1128299;13/11/2020;West;California;San Francisco;Men's Street Footwear;$50.00 ;850;$4,25,000 ;$1,48,750 ;35%;Outlet
West Gear;1128299;14/11/2020;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;700;$4,20,000 ;$ 84,00;20%;Outlet
West Gear;1128299;15/11/2020;West;California;San Francisco;Women's Street Footwear;$60.00 ;700;$4,20,000 ;$1,47,000 ;35%;Outlet
West Gear;1128299;22/12/2020;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;600;$3,60,000 ;$1,08,000 ;30%;Outlet
West Gear;1128299;23/12/2020;West;California;San Francisco;Men's Apparel;$65.00 ;500;$3,25,000 ;$1,62,500 ;50%;Outlet
West Gear;1128299;24/12/2020;West;California;San Francisco;Women's Apparel;$60.00 ;700;$4,20,000 ;$ 63,00;15%;Outlet
West Gear;1128299;25/12/2020;West;California;San Francisco;Men's Street Footwear;$60.00 ;875;$5,25,000 ;$1,83,750 ;35%;Outlet
West Gear;1128299;26/12/2020;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;675;$4,38,750 ;$ 87,75;20%;Outlet
West Gear;1128299;27/12/2020;West;California;San Francisco;Women's Street Footwear;$65.00 ;725;$4,71,250 ;$1,64,938 ;35%;Outlet
West Gear;1128299;28/12/2020;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;625;$3,75,000 ;$1,12,500 ;30%;Outlet
West Gear;1128299;29/12/2020;West;California;San Francisco;Men's Apparel;$65.00 ;525;$3,41,250 ;$1,70,625 ;50%;Outlet
West Gear;1128299;30/12/2020;West;California;San Francisco;Women's Apparel;$80.00 ;700;$5,60,000 ;$ 84,00;15%;Outlet
West Gear;1128299;31/12/2020;West;California;San Francisco;Men's Street Footwear;$60.00 ;900;$5,40,000 ;$2,16,000 ;40%;Outlet
West Gear;1128299;1/1/2021;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;750;$4,87,500 ;$1,21,875 ;25%;Outlet
West Gear;1128299;2/1/2021;West;California;San Francisco;Women's Street Footwear;$65.00 ;750;$4,87,500 ;$1,95,000 ;40%;Outlet
West Gear;1128299;3/1/2021;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;650;$3,90,000 ;$1,36,500 ;35%;Outlet
West Gear;1128299;4/1/2021;West;California;San Francisco;Men's Apparel;$65.00 ;550;$3,57,500 ;$1,96,625 ;55%;Outlet
West Gear;1128299;5/1/2021;West;California;San Francisco;Women's Apparel;$80.00 ;725;$5,80,000 ;$1,16,000 ;20%;Outlet
West Gear;1128299;6/1/2021;West;California;San Francisco;Men's Street Footwear;$60.00 ;975;$5,85,000 ;$2,34,000 ;40%;Outlet
West Gear;1128299;7/1/2021;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;825;$5,36,250 ;$1,34,063 ;25%;Outlet
West Gear;1128299;8/1/2021;West;California;San Francisco;Women's Street Footwear;$65.00 ;825;$5,36,250 ;$2,14,500 ;40%;Outlet
West Gear;1128299;9/1/2021;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;700;$4,20,000 ;$1,47,000 ;35%;Outlet
West Gear;1128299;10/1/2021;West;California;San Francisco;Men's Apparel;$65.00 ;575;$3,73,750 ;$2,05,563 ;55%;Outlet
West Gear;1128299;11/1/2021;West;California;San Francisco;Women's Apparel;$80.00 ;875;$7,00,000 ;$1,40,000 ;20%;Outlet
West Gear;1128299;12/1/2021;West;California;San Francisco;Men's Street Footwear;$60.00 ;1,025;$6,15,000 ;$2,15,250 ;35%;Outlet
West Gear;1128299;13/1/2021;West;California;San Francisco;Men's Athletic Footwear;$65.00 ;875;$5,68,750 ;$1,13,750 ;20%;Outlet
West Gear;1128299;14/1/2021;West;California;San Francisco;Women's Street Footwear;$65.00 ;825;$5,36,250 ;$1,87,688 ;35%;Outlet
West Gear;1128299;15/1/2021;West;California;San Francisco;Women's Athletic Footwear;$60.00 ;725;$4,35,000 ;$1,30,500 ;30%;Outlet
West Gear;1128299;16/1/2021;West;California;San Francisco;Men's Apparel;$65.00 ;775;$5,03,750 ;$2,51,875 ;50%;Outlet
West Gear;1128299;17/1/2021;West;California;San Francisco;Women's Apparel;$80.00 ;775;$6,20,000 ;$ 93,00;15%;Outlet
West Gear;1128299;18/1/2021;West;California;San Francisco;Men's Street Footwear;$65.00 ;975;$6,33,750 ;$2,21,813 ;35%;Outlet
West Gear;1128299;19/1/2021;West;California;San Francisco;Men's Athletic Footwear;$70.00 ;925;$6,47,500 ;$1,29,500 ;20%;Outlet
West Gear;1128299;20/1/2021;West;California;San Francisco;Women's Street Footwear;$65.00 ;800;$5,20,000 ;$1,82,000 ;35%;Outlet
West Gear;1128299;21/1/2021;West;California;San Francisco;Women's Athletic Footwear;$65.00 ;750;$4,87,500 ;$1,46,250 ;30%;Outlet
West Gear;1128299;22/1/2021;West;California;San Francisco;Men's Apparel;$75.00 ;750;$5,62,500 ;$2,81,250 ;50%;Outlet
West Gear;1128299;23/1/2021;West;California;San Francisco;Women's Apparel;$80.00 ;725;$5,80,000 ;$ 87,00;15%;Outlet
West Gear;1128299;24/1/2021;West;California;San Francisco;Men's Street Footwear;$55.00 ;925;$5,08,750 ;$1,52,625 ;30%;Outlet
West Gear;1128299;25/1/2021;West;California;San Francisco;Men's Athletic Footwear;$60.00 ;925;$5,55,000 ;$ 83,25;15%;Outlet
West Gear;1128299;26/1/2021;West;California;San Francisco;Women's Street Footwear;$55.00 ;775;$4,26,250 ;$1,27,875 ;30%;Outlet
West Gear;1128299;27/1/2021;West;California;San Francisco;Women's Athletic Footwear;$55.00 ;725;$3,98,750 ;$ 99,69;25%;Outlet
