Comercio;ID Comercio;Fecha de Ingreso;Región;Estado;Ciudad;Producto;Precio por Unidad;Unidades Vendidas;Precio Final;Ganancias;Margen Operativo;Metodo de venta;;;
Foot Locker;1185732;9/10/2020;Northeast;New York;New York;Men's Street Footwear;$50,00 ;1.220;$ 61.000;$30.500 ;50%;Outlet;;;
Foot Locker;1185732;30/9/2020;Northeast;New York;New York;Men's Athletic Footwear;$50,00 ;925;$ 46.250;$32.375 ;30%;Outlet;;;
Foot Locker;1185732;26/9/2020;Northeast;New York;New York;Women's Street Footwear;$40,00 ;950;$ 38.000;$24.700 ;35%;Outlet;;;
Foot Locker;1185732;4/6/2020;Northeast;New York;New York;Women's Athletic Footwear;$45,00 ;800;$ 36.000;$23.400 ;35%;Outlet;;;
Foot Locker;1185732;21/8/2020;Northeast;New York;New York;Men's Apparel;$60,00 ;850;$ 51.000;$35.700 ;30%;Outlet;;;
Foot Locker;1185732;25/7/2020;Northeast;New York;New York;Women's Apparel;$50,00 ;950;$ 47.500;$35.625 ;25%;Outlet;;;
Foot Locker;1185732;23/11/2021;Northeast;New York;New York;Men's Street Footwear;$50,00 ;1.200;$ 60.000;$30.000 ;50%;Outlet;;;
Foot Locker;1185732;15/2/2021;Northeast;New York;New York;Men's Athletic Footwear;$50,00 ;900;$ 45.000;$31.500 ;30%;Outlet;;;
Foot Locker;1185732;14/6/2021;Northeast;New York;New York;Women's Street Footwear;$40,00 ;900;$ 36.000;$23.400 ;35%;Outlet;;;
Foot Locker;1185732;21/12/2021;Northeast;New York;New York;Women's Athletic Footwear;$45,00 ;825;$ 37.125;$24.131 ;35%;Outlet;;;
Foot Locker;1185732;22/8/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;825;$ 49.500;$34.650 ;30%;Outlet;;;
Foot Locker;1185732;17/11/2021;Northeast;New York;New York;Women's Apparel;$50,00 ;950;$ 47.500;$35.625 ;25%;Outlet;;;
Foot Locker;1185732;26/8/2020;Northeast;New York;New York;Men's Street Footwear;$60,00 ;1.220;$ 73.200;$36.600 ;50%;Outlet;;;
Foot Locker;1185732;19/5/2020;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;925;$ 50.875;$35.613 ;30%;Outlet;;;
Foot Locker;1185732;22/1/2020;Northeast;New York;New York;Women's Street Footwear;$50,00 ;900;$ 45.000;$29.250 ;35%;Outlet;;;
Foot Locker;1185732;19/4/2020;Northeast;New York;New York;Women's Athletic Footwear;$50,00 ;850;$ 42.500;$27.625 ;35%;Outlet;;;
Foot Locker;1185732;15/9/2020;Northeast;New York;New York;Men's Apparel;$60,00 ;875;$ 52.500;$36.750 ;30%;Outlet;;;
Foot Locker;1185732;13/6/2021;Northeast;New York;New York;Women's Apparel;$65,00 ;1.000;$ 65.000;$48.750 ;25%;Outlet;;;
Foot Locker;1185732;15/9/2020;Northeast;New York;New York;Men's Street Footwear;$60,00 ;1.250;$ 75.000;$37.500 ;50%;Outlet;;;
Foot Locker;1185732;26/7/2021;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;1.000;$ 55.000;$38.500 ;30%;Outlet;;;
Foot Locker;1185732;23/9/2021;Northeast;New York;New York;Women's Street Footwear;$50,00 ;925;$ 46.250;$30.063 ;35%;Outlet;;;
Foot Locker;1185732;11/12/2021;Northeast;New York;New York;Women's Athletic Footwear;$50,00 ;900;$ 45.000;$29.250 ;35%;Outlet;;;
Foot Locker;1185732;27/8/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;900;$ 54.000;$37.800 ;30%;Outlet;;;
Foot Locker;1185732;12/7/2021;Northeast;New York;New York;Women's Apparel;$65,00 ;1.050;$ 68.250;$51.188 ;25%;Outlet;;;
Foot Locker;1185732;28/10/2020;Northeast;New York;New York;Men's Street Footwear;$60,00 ;1.275;$ 76.500;$38.250 ;50%;Outlet;;;
Foot Locker;1185732;3/6/2020;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;1.025;$ 56.375;$39.463 ;30%;Outlet;;;
Foot Locker;1185732;29/10/2020;Northeast;New York;New York;Women's Street Footwear;$50,00 ;950;$ 47.500;$30.875 ;35%;Outlet;;;
Foot Locker;1185732;2/7/2021;Northeast;New York;New York;Women's Athletic Footwear;$50,00 ;900;$ 45.000;$29.250 ;35%;Outlet;;;
Foot Locker;1185732;17/5/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;925;$ 55.500;$38.850 ;30%;Outlet;;;
Foot Locker;1185732;7/12/2020;Northeast;New York;New York;Women's Apparel;$65,00 ;1.100;$ 71.500;$53.625 ;25%;Outlet;;;
Foot Locker;1185732;10/10/2021;Northeast;New York;New York;Men's Street Footwear;$60,00 ;1.250;$ 75.000;$37.500 ;50%;Outlet;;;
Foot Locker;1185732;13/9/2021;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;1.025;$ 56.375;$39.463 ;30%;Outlet;;;
Foot Locker;1185732;22/4/2021;Northeast;New York;New York;Women's Street Footwear;$50,00 ;950;$ 47.500;$30.875 ;35%;Outlet;;;
Foot Locker;1185732;22/12/2020;Northeast;New York;New York;Women's Athletic Footwear;$50,00 ;925;$ 46.250;$30.063 ;35%;Outlet;;;
Walmart;1185732;12/6/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;900;$ 54.000;$37.800 ;30%;Outlet;;;
Walmart;1185732;5/5/2021;Northeast;New York;New York;Women's Apparel;$65,00 ;1.075;$ 69.875;$52.406 ;25%;Outlet;;;
Walmart;1185732;16/8/2021;Northeast;New York;New York;Men's Street Footwear;$60,00 ;1.200;$ 72.000;$36.000 ;50%;Outlet;;;
Walmart;1185732;18/1/2021;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;1.000;$ 55.000;$38.500 ;30%;Outlet;;;
Walmart;1185732;19/8/2020;Northeast;New York;New York;Women's Street Footwear;$50,00 ;925;$ 46.250;$30.063 ;35%;Outlet;;;
Walmart;1185732;6/2/2020;Northeast;New York;New York;Women's Athletic Footwear;$50,00 ;900;$ 45.000;$29.250 ;35%;Outlet;;;
Walmart;1185732;25/9/2021;Northeast;New York;New York;Men's Apparel;$60,00 ;900;$ 54.000;$37.800 ;30%;Outlet;;;
Walmart;1185732;4/2/2021;Northeast;New York;New York;Women's Apparel;$65,00 ;1.000;$ 65.000;$48.750 ;25%;Outlet;;;
Walmart;1185732;15/5/2021;Northeast;New York;New York;Men's Apparel;$65,00 ;875;$ 56.875;$39.813 ;30%;Outlet;;;
Walmart;1185732;29/10/2021;Northeast;New York;New York;Women's Apparel;$70,00 ;1.000;$ 70.000;$52.500 ;25%;Outlet;;;
Walmart;1185732;16/10/2021;Northeast;New York;New York;Men's Street Footwear;$65,00 ;1.150;$ 74.750;$37.375 ;50%;Outlet;;;
Walmart;1185732;11/12/2021;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;975;$ 53.625;$37.538 ;30%;Outlet;;;
Walmart;1185732;19/3/2020;Northeast;New York;New York;Women's Street Footwear;$55,00 ;920;$ 50.600;$32.890 ;35%;Outlet;;;
Walmart;1185732;16/9/2020;Northeast;New York;New York;Women's Athletic Footwear;$55,00 ;900;$ 49.500;$32.175 ;35%;Outlet;;;
Walmart;1185732;7/2/2021;Northeast;New York;New York;Men's Apparel;$65,00 ;875;$ 56.875;$39.813 ;30%;Outlet;;;
Walmart;1185732;1/5/2021;Northeast;New York;New York;Women's Apparel;$70,00 ;975;$ 68.250;$51.188 ;25%;Outlet;;;
Walmart;1185732;21/2/2020;Northeast;New York;New York;Men's Street Footwear;$65,00 ;1.200;$ 78.000;$39.000 ;50%;Outlet;;;
Walmart;1185732;2/3/2020;Northeast;New York;New York;Men's Athletic Footwear;$55,00 ;1.000;$ 55.000;$38.500 ;30%;Outlet;;;
Walmart;1185732;11/10/2020;Northeast;New York;New York;Women's Street Footwear;$55,00 ;950;$ 52.250;$33.963 ;35%;Outlet;;;
Walmart;1185732;28/6/2021;Northeast;New York;New York;Women's Athletic Footwear;$55,00 ;900;$ 49.500;$32.175 ;35%;Outlet;;;
Walmart;1185732;27/2/2020;Northeast;New York;New York;Men's Apparel;$65,00 ;900;$ 58.500;$40.950 ;30%;Outlet;;;
Walmart;1185732;24/2/2021;Northeast;New York;New York;Women's Apparel;$70,00 ;1.000;$ 70.000;$52.500 ;25%;Outlet;;;
Sports Direct;1197831;14/6/2021;Northeast;New York;New York;Men's Street Footwear;$25,00 ;900;$ 22.500;$14.625 ;35%;Outlet;;;
Sports Direct;1197831;14/12/2020;Northeast;New York;New York;Men's Athletic Footwear;$35,00 ;900;$ 31.500;$20.475 ;35%;Outlet;;;
Sports Direct;1197831;8/11/2021;Northeast;New York;New York;Women's Street Footwear;$35,00 ;700;$ 24.500;$15.925 ;35%;Outlet;;;
Sports Direct;1197831;1/9/2021;Northeast;New York;New York;Women's Athletic Footwear;$35,00 ;700;$ 24.500;$13.475 ;45%;Outlet;;;
Sports Direct;1197831;10/8/2020;South;Texas;Houston;Men's Apparel;$40,00 ;550;$ 22.000;$15.400 ;30%;Outlet;;;
Sports Direct;1197831;30/6/2020;South;Texas;Houston;Women's Apparel;$35,00 ;700;$ 24.500;$12.250 ;50%;Outlet;;;
Sports Direct;1197831;9/6/2020;South;Texas;Houston;Men's Street Footwear;$25,00 ;850;$ 21.250;$13.813 ;35%;Outlet;;;
Sports Direct;1197831;26/5/2020;South;Texas;Houston;Men's Athletic Footwear;$35,00 ;850;$ 29.750;$19.338 ;35%;Outlet;;;
Sports Direct;1197831;23/1/2021;South;Texas;Houston;Women's Street Footwear;$35,00 ;675;$ 23.625;$15.356 ;35%;Outlet;;;
Sports Direct;1197831;12/3/2021;South;Texas;Houston;Women's Athletic Footwear;$35,00 ;625;$ 21.875;$12.031 ;45%;Outlet;;;
Sports Direct;1197831;12/3/2020;South;Texas;Houston;Men's Apparel;$40,00 ;500;$ 20.000;$14.000 ;30%;Outlet;;;
Sports Direct;1197831;27/2/2020;South;Texas;Houston;Women's Apparel;$35,00 ;700;$ 24.500;$12.250 ;50%;Outlet;;;
Sports Direct;1197831;5/7/2021;South;Texas;Houston;Men's Street Footwear;$30,00 ;875;$ 26.250;$17.063 ;35%;Outlet;;;
Sports Direct;1197831;26/3/2020;South;Texas;Houston;Men's Athletic Footwear;$40,00 ;875;$ 35.000;$22.750 ;35%;Outlet;;;
Sports Direct;1197831;17/3/2021;South;Texas;Houston;Women's Street Footwear;$35,00 ;700;$ 24.500;$15.925 ;35%;Outlet;;;
Sports Direct;1197831;22/11/2020;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;600;$ 24.000;$13.200 ;45%;Outlet;;;
Sports Direct;1197831;19/4/2021;South;Texas;Houston;Men's Apparel;$45,00 ;500;$ 22.500;$15.750 ;30%;Outlet;;;
Sports Direct;1197831;25/12/2020;South;Texas;Houston;Women's Apparel;$40,00 ;650;$ 26.000;$13.000 ;50%;Outlet;;;
Sports Direct;1197831;17/7/2020;South;Texas;Houston;Men's Street Footwear;$30,00 ;900;$ 27.000;$17.550 ;35%;Outlet;;;
Sports Direct;1197831;30/6/2021;South;Texas;Houston;Men's Athletic Footwear;$40,00 ;900;$ 36.000;$23.400 ;35%;Outlet;;;
Sports Direct;1197831;17/5/2020;South;Texas;Houston;Women's Street Footwear;$35,00 ;725;$ 25.375;$16.494 ;35%;Outlet;;;
Sports Direct;1197831;26/12/2020;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;625;$ 25.000;$13.750 ;45%;Outlet;;;
Walmart;1197831;18/12/2020;South;Texas;Houston;Men's Apparel;$45,00 ;525;$ 23.625;$16.538 ;30%;Outlet;;;
Walmart;1197831;21/10/2020;South;Texas;Houston;Women's Apparel;$40,00 ;800;$ 32.000;$16.000 ;50%;Outlet;;;
Walmart;1197831;19/8/2020;South;Texas;Houston;Men's Street Footwear;$30,00 ;925;$ 27.750;$18.038 ;35%;Outlet;;;
Walmart;1197831;6/5/2020;South;Texas;Houston;Men's Athletic Footwear;$40,00 ;925;$ 37.000;$24.050 ;35%;Outlet;;;
Walmart;1197831;8/10/2020;South;Texas;Houston;Women's Street Footwear;$35,00 ;775;$ 27.125;$17.631 ;35%;Outlet;;;
Walmart;1197831;26/12/2021;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;700;$ 28.000;$15.400 ;45%;Outlet;;;
Walmart;1197831;28/9/2020;South;Texas;Houston;Men's Apparel;$45,00 ;600;$ 27.000;$18.900 ;30%;Outlet;;;
Walmart;1197831;16/4/2020;South;Texas;Houston;Women's Apparel;$40,00 ;950;$ 38.000;$19.000 ;50%;Outlet;;;
Walmart;1197831;16/7/2021;South;Texas;Houston;Men's Street Footwear;$40,00 ;950;$ 38.000;$24.700 ;35%;Outlet;;;
Walmart;1197831;23/4/2021;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;950;$ 42.750;$27.788 ;35%;Outlet;;;
Walmart;1197831;15/5/2020;South;Texas;Houston;Women's Street Footwear;$40,00 ;800;$ 32.000;$20.800 ;35%;Outlet;;;
Walmart;1197831;7/8/2020;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;750;$ 30.000;$16.500 ;45%;Outlet;;;
Walmart;1197831;7/4/2021;South;Texas;Houston;Men's Apparel;$45,00 ;650;$ 29.250;$20.475 ;30%;Outlet;;;
Walmart;1197831;6/6/2021;South;Texas;Houston;Women's Apparel;$50,00 ;1.000;$ 50.000;$25.000 ;50%;Outlet;;;
Walmart;1197831;29/9/2021;South;Texas;Houston;Men's Street Footwear;$40,00 ;950;$ 38.000;$24.700 ;35%;Outlet;;;
Walmart;1197831;14/7/2020;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;950;$ 42.750;$27.788 ;35%;Outlet;;;
Walmart;1197831;25/11/2020;South;Texas;Houston;Women's Street Footwear;$40,00 ;1.100;$ 44.000;$28.600 ;35%;Outlet;;;
Walmart;1197831;2/11/2021;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;700;$ 28.000;$15.400 ;45%;Outlet;;;
Walmart;1197831;17/10/2021;South;Texas;Houston;Men's Apparel;$45,00 ;700;$ 31.500;$22.050 ;30%;Outlet;;;
Walmart;1197831;14/7/2020;South;Texas;Houston;Women's Apparel;$50,00 ;975;$ 48.750;$24.375 ;50%;Outlet;;;
Walmart;1197831;22/1/2021;South;Texas;Houston;Men's Street Footwear;$40,00 ;925;$ 37.000;$24.050 ;35%;Outlet;;;
Walmart;1197831;8/10/2021;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;925;$ 41.625;$27.056 ;35%;Outlet;;;
Walmart;1197831;26/10/2020;South;Texas;Houston;Women's Street Footwear;$40,00 ;1.100;$ 44.000;$28.600 ;35%;Outlet;;;
Walmart;1197831;11/11/2020;South;Texas;Houston;Women's Athletic Footwear;$40,00 ;650;$ 26.000;$14.300 ;45%;Outlet;;;
Walmart;1197831;24/12/2020;South;Texas;Houston;Men's Apparel;$45,00 ;650;$ 29.250;$20.475 ;30%;Outlet;;;
Walmart;1197831;5/4/2021;South;Texas;Houston;Women's Apparel;$50,00 ;900;$ 45.000;$22.500 ;50%;Outlet;;;
Walmart;1197831;5/11/2020;South;Texas;Houston;Men's Street Footwear;$45,00 ;850;$ 38.250;$24.863 ;35%;Outlet;;;
Walmart;1197831;4/9/2021;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;850;$ 38.250;$24.863 ;35%;Outlet;;;
Walmart;1197831;6/9/2021;South;Texas;Houston;Women's Street Footwear;$50,00 ;900;$ 45.000;$29.250 ;35%;Outlet;;;
Walmart;1197831;16/11/2021;South;Texas;Houston;Women's Athletic Footwear;$50,00 ;625;$ 31.250;$17.188 ;45%;Outlet;;;
Walmart;1197831;6/2/2020;South;Texas;Houston;Men's Apparel;$45,00 ;625;$ 28.125;$19.688 ;30%;Outlet;;;
Walmart;1197831;15/5/2020;South;Texas;Houston;Women's Apparel;$55,00 ;850;$ 46.750;$23.375 ;50%;Outlet;;;
Walmart;1197831;27/12/2021;South;Texas;Houston;Men's Street Footwear;$45,00 ;800;$ 36.000;$23.400 ;35%;Outlet;;;
Walmart;1197831;1/11/2020;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;800;$ 36.000;$23.400 ;35%;Outlet;;;
Walmart;1197831;19/11/2020;South;Texas;Houston;Women's Street Footwear;$50,00 ;750;$ 37.500;$24.375 ;35%;Outlet;;;
Walmart;1197831;12/2/2020;South;Texas;Houston;Women's Athletic Footwear;$50,00 ;600;$ 30.000;$16.500 ;45%;Outlet;;;
Walmart;1197831;1/3/2021;South;Texas;Houston;Men's Apparel;$45,00 ;575;$ 25.875;$18.113 ;30%;Outlet;;;
Walmart;1197831;16/8/2020;South;Texas;Houston;Women's Apparel;$55,00 ;750;$ 41.250;$20.625 ;50%;Outlet;;;
Walmart;1197831;18/11/2021;South;Texas;Houston;Men's Street Footwear;$45,00 ;900;$ 40.500;$26.325 ;35%;Outlet;;;
Walmart;1197831;20/6/2020;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;900;$ 40.500;$26.325 ;35%;Outlet;;;
Walmart;1197831;6/1/2020;South;Texas;Houston;Women's Street Footwear;$50,00 ;825;$ 41.250;$26.813 ;35%;Outlet;;;
Walmart;1197831;26/11/2020;South;Texas;Houston;Women's Athletic Footwear;$50,00 ;675;$ 33.750;$18.563 ;45%;Outlet;;;
Walmart;1197831;21/9/2020;South;Texas;Houston;Men's Apparel;$45,00 ;650;$ 29.250;$20.475 ;30%;Outlet;;;
Walmart;1197831;25/4/2020;South;Texas;Houston;Women's Apparel;$55,00 ;850;$ 46.750;$23.375 ;50%;Outlet;;;
Walmart;1197831;28/11/2021;South;Texas;Houston;Men's Street Footwear;$45,00 ;950;$ 42.750;$27.788 ;35%;Outlet;;;
Walmart;1197831;4/9/2021;South;Texas;Houston;Men's Athletic Footwear;$45,00 ;950;$ 42.750;$27.788 ;35%;Outlet;;;
Walmart;1197831;28/11/2021;South;Texas;Houston;Women's Street Footwear;$50,00 ;850;$ 42.500;$27.625 ;35%;Outlet;;;
Walmart;1197831;10/2/2020;South;Texas;Houston;Women's Athletic Footwear;$50,00 ;700;$ 35.000;$19.250 ;45%;Outlet;;;
Walmart;1197831;7/1/2021;South;Texas;Houston;Men's Apparel;$45,00 ;650;$ 29.250;$20.475 ;30%;Outlet;;;
Walmart;1197831;3/5/2021;South;Texas;Houston;Women's Apparel;$55,00 ;900;$ 49.500;$24.750 ;50%;Outlet;;;
West Gear;1128299;2/4/2021;South;Texas;Houston;Men's Street Footwear;$40,00 ;775;$ 31.000;$20.150 ;35%;Outlet;;;
West Gear;1128299;28/1/2021;South;Texas;Houston;Men's Athletic Footwear;$50,00 ;775;$ 38.750;$31.000 ;20%;Outlet;;;
West Gear;1128299;13/7/2020;South;Texas;Houston;Women's Street Footwear;$50,00 ;775;$ 38.750;$25.188 ;35%;Outlet;;;
West Gear;1128299;17/4/2020;South;Texas;Houston;Women's Athletic Footwear;$50,00 ;625;$ 31.250;$21.875 ;30%;Outlet;;;
West Gear;1128299;23/12/2021;West;California;San Francisco;Men's Apparel;$55,00 ;575;$ 31.625;$15.813 ;50%;Outlet;;;
West Gear;1128299;10/2/2021;West;California;San Francisco;Women's Apparel;$50,00 ;775;$ 38.750;$32.938 ;15%;Outlet;;;
West Gear;1128299;18/1/2021;West;California;San Francisco;Men's Street Footwear;$40,00 ;825;$ 33.000;$21.450 ;35%;Outlet;;;
West Gear;1128299;4/2/2021;West;California;San Francisco;Men's Athletic Footwear;$50,00 ;725;$ 36.250;$29.000 ;20%;Outlet;;;
West Gear;1128299;12/11/2020;West;California;San Francisco;Women's Street Footwear;$50,00 ;725;$ 36.250;$23.563 ;35%;Outlet;;;
West Gear;1128299;10/12/2020;West;California;San Francisco;Women's Athletic Footwear;$50,00 ;575;$ 28.750;$20.125 ;30%;Outlet;;;
West Gear;1128299;2/1/2021;West;California;San Francisco;Men's Apparel;$55,00 ;500;$ 27.500;$13.750 ;50%;Outlet;;;
West Gear;1128299;3/5/2021;West;California;San Francisco;Women's Apparel;$50,00 ;700;$ 35.000;$29.750 ;15%;Outlet;;;
West Gear;1128299;1/9/2020;West;California;San Francisco;Men's Street Footwear;$50,00 ;850;$ 42.500;$27.625 ;35%;Outlet;;;
West Gear;1128299;7/7/2021;West;California;San Francisco;Men's Athletic Footwear;$60,00 ;700;$ 42.000;$33.600 ;20%;Outlet;;;
West Gear;1128299;21/4/2020;West;California;San Francisco;Women's Street Footwear;$60,00 ;700;$ 42.000;$27.300 ;35%;Outlet;;;
West Gear;1128299;22/4/2021;West;California;San Francisco;Women's Athletic Footwear;$60,00 ;600;$ 36.000;$25.200 ;30%;Outlet;;;
West Gear;1128299;3/7/2021;West;California;San Francisco;Men's Apparel;$65,00 ;500;$ 32.500;$16.250 ;50%;Outlet;;;
West Gear;1128299;29/3/2021;West;California;San Francisco;Women's Apparel;$60,00 ;700;$ 42.000;$35.700 ;15%;Outlet;;;
West Gear;1128299;7/10/2021;West;California;San Francisco;Men's Street Footwear;$60,00 ;875;$ 52.500;$34.125 ;35%;Outlet;;;
West Gear;1128299;23/11/2020;West;California;San Francisco;Men's Athletic Footwear;$65,00 ;675;$ 43.875;$35.100 ;20%;Outlet;;;
West Gear;1128299;1/3/2021;West;California;San Francisco;Women's Street Footwear;$65,00 ;725;$ 47.125;$30.631 ;35%;Outlet;;;
West Gear;1128299;17/6/2021;West;California;San Francisco;Women's Athletic Footwear;$60,00 ;625;$ 37.500;$26.250 ;30%;Outlet;;;
West Gear;1128299;17/5/2020;West;California;San Francisco;Men's Apparel;$65,00 ;525;$ 34.125;$17.063 ;50%;Outlet;;;
West Gear;1128299;26/8/2021;West;California;San Francisco;Women's Apparel;$80,00 ;700;$ 56.000;$47.600 ;15%;Outlet;;;
West Gear;1128299;4/6/2021;West;California;San Francisco;Men's Street Footwear;$60,00 ;900;$ 54.000;$32.400 ;40%;Outlet;;;
West Gear;1128299;9/10/2020;West;California;San Francisco;Men's Athletic Footwear;$65,00 ;750;$ 48.750;$36.563 ;25%;Outlet;;;
West Gear;1128299;3/10/2021;West;California;San Francisco;Women's Street Footwear;$65,00 ;750;$ 48.750;$29.250 ;40%;Outlet;;;
West Gear;1128299;4/6/2020;West;California;San Francisco;Women's Athletic Footwear;$60,00 ;650;$ 39.000;$25.350 ;35%;Outlet;;;
West Gear;1128299;23/8/2021;West;California;San Francisco;Men's Apparel;$65,00 ;550;$ 35.750;$16.088 ;55%;Outlet;;;
West Gear;1128299;10/7/2020;West;California;San Francisco;Women's Apparel;$80,00 ;725;$ 58.000;$46.400 ;20%;Outlet;;;
West Gear;1128299;24/10/2020;West;California;San Francisco;Men's Street Footwear;$60,00 ;975;$ 58.500;$35.100 ;40%;Outlet;;;
West Gear;1128299;1/9/2020;West;California;San Francisco;Men's Athletic Footwear;$65,00 ;825;$ 53.625;$40.219 ;25%;Outlet;;;
West Gear;1128299;30/8/2020;West;California;San Francisco;Women's Street Footwear;$65,00 ;825;$ 53.625;$32.175 ;40%;Outlet;;;
West Gear;1128299;16/3/2021;West;California;San Francisco;Women's Athletic Footwear;$60,00 ;700;$ 42.000;$27.300 ;35%;Outlet;;;
West Gear;1128299;19/1/2020;West;California;San Francisco;Men's Apparel;$65,00 ;575;$ 37.375;$16.819 ;55%;Outlet;;;
West Gear;1128299;26/5/2021;West;California;San Francisco;Women's Apparel;$80,00 ;875;$ 70.000;$56.000 ;20%;Outlet;;;
West Gear;1128299;29/1/2020;West;California;San Francisco;Men's Street Footwear;$60,00 ;1.025;$ 61.500;$39.975 ;35%;Outlet;;;
West Gear;1128299;6/10/2020;West;California;San Francisco;Men's Athletic Footwear;$65,00 ;875;$ 56.875;$45.500 ;20%;Outlet;;;
West Gear;1128299;22/1/2020;West;California;San Francisco;Women's Street Footwear;$65,00 ;825;$ 53.625;$34.856 ;35%;Outlet;;;
West Gear;1128299;4/11/2021;West;California;San Francisco;Women's Athletic Footwear;$60,00 ;725;$ 43.500;$30.450 ;30%;Outlet;;;
West Gear;1128299;21/2/2021;West;California;San Francisco;Men's Apparel;$65,00 ;775;$ 50.375;$25.188 ;50%;Outlet;;;
West Gear;1128299;9/1/2021;West;California;San Francisco;Women's Apparel;$80,00 ;775;$ 62.000;$52.700 ;15%;Outlet;;;
West Gear;1128299;9/9/2021;West;California;San Francisco;Men's Street Footwear;$65,00 ;975;$ 63.375;$41.194 ;35%;Outlet;;;
West Gear;1128299;3/12/2021;West;California;San Francisco;Men's Athletic Footwear;$70,00 ;925;$ 64.750;$51.800 ;20%;Outlet;;;
West Gear;1128299;22/2/2020;West;California;San Francisco;Women's Street Footwear;$65,00 ;800;$ 52.000;$33.800 ;35%;Outlet;;;
West Gear;1128299;18/1/2021;West;California;San Francisco;Women's Athletic Footwear;$65,00 ;750;$ 48.750;$34.125 ;30%;Outlet;;;
West Gear;1128299;15/5/2021;West;California;San Francisco;Men's Apparel;$75,00 ;750;$ 56.250;$28.125 ;50%;Outlet;;;
West Gear;1128299;17/1/2021;West;California;San Francisco;Women's Apparel;$80,00 ;725;$ 58.000;$49.300 ;15%;Outlet;;;
West Gear;1128299;29/7/2020;West;California;San Francisco;Men's Street Footwear;$55,00 ;925;$ 50.875;$35.613 ;30%;Outlet;;;
West Gear;1128299;2/3/2020;West;California;San Francisco;Men's Athletic Footwear;$60,00 ;925;$ 55.500;$47.175 ;15%;Outlet;;;
West Gear;1128299;1/1/2020;West;California;San Francisco;Women's Street Footwear;$55,00 ;775;$ 42.625;$29.838 ;30%;Outlet;;;
West Gear;1128299;20/3/2021;West;California;San Francisco;Women's Athletic Footwear;$55,00 ;725;$ 39.875;$29.906 ;25%;Outlet;;;
West Gear;1128299;23/2/2020;West;California;San Francisco;Men's Apparel;$65,00 ;725;$ 47.125;$25.919 ;45%;Outlet;;;
